Mr. Sean Casey,(09/05/1922 - 29/04/1967),Trade Union Official,The Labour Party members of the 15th Dáil,Cork Borough
Mr. Brendan Corish,(19/11/1918 - 17/02/1990),Full-Time Public Representative,The Labour Party members of the 15th Dáil,Wexford
Mr. William Davin,( - 01/03/1956),Station Master,The Labour Party members of the 15th Dáil,Leix-Offaly
Mr. Daniel Desmond,(03/10/1913 - 09/12/1964),The Labour Party (The Labour Party members of the 15th Dáil),The Labour Party members of the 15th Dáil,Cork South
Mr. Sean Dunne,(18/12/1918 - 25/06/1969),Union Official,The Labour Party members of the 15th Dáil,Dublin County
Mr. James Everett,(01/05/1894 - 18/12/1967),Trade Union Secretary,The Labour Party members of the 15th Dáil,Kildare-Wicklow
Mr. Michael Keyes,,Railway Worker,The Labour Party members of the 15th Dáil,Limerick
Mr. Thomas Anthony Kyne,(04/02/1905 - 08/08/1981),Trade Union Official,The Labour Party members of the 15th Dáil,Waterford
Mr. Denis Larkin,( - 02/07/1987),Trade Union Official,The Labour Party members of the 15th Dáil,Dublin North-East
Mr. James (Junior) Larkin,( - 18/02/1969),Trade Union Official,The Labour Party members of the 15th Dáil,Dublin South
Mr. Patrick McAuliffe,(01/08/1914 - 13/10/1989),Farmer,The Labour Party members of the 15th Dáil,Cork North
Mr. Michael Pat Murphy,(12/03/1919 - 28/10/2000),Publican,The Labour Party members of the 15th Dáil,Cork West
Mr. William Norton,( - 04/12/1963),Trade Union Official,The Labour Party members of the 15th Dáil,Dublin County
Ms. Maureen O'Carroll,(29/03/1913 - 09/05/1984),School teacher Foreign Officer of the 'Irish Hospital Trust',The Labour Party members of the 15th Dáil,Dublin North Central
Mr. John (Wexford) O'Leary,(01/09/1894 - 21/06/1959),Flour Mill Worker,The Labour Party members of the 15th Dáil,Wexford
Mr. Daniel Spring,(01/07/1910 - 01/01/1988),Trade Union Official,The Labour Party members of the 15th Dáil,Kerry North
Mr. James Tully,(18/09/1915 - 20/05/1992),Trade Union Official,The Labour Party members of the 15th Dáil,Meath
