Mr. George C. Bennett,( - 20/06/1963),Farmer,Fine Gael members of the 11th Dáil,Limerick
Mr. Ernest Edmondson Benson,( - 17/03/1975),Company Director,Fine Gael members of the 11th Dáil,Dublin Townships
Mr. William Joseph Broderick,(20/05/1877 - 01/06/1957),Farmer and Butcher,Fine Gael members of the 11th Dáil,Cork East
Mr. Patrick Browne,( - 24/07/1970),Farmer and Merchant,Fine Gael members of the 11th Dáil,Mayo North
Mr. Patrick Burke,(16/04/1879 - 07/02/1945),Farmer,Fine Gael members of the 11th Dáil,Clare
Mr. James Coburn,( - 05/12/1953),Builders Foreman,Fine Gael members of the 11th Dáil,Louth
Mr. Liam Cosgrave,(13/04/1920 - ),Barrister-at-Law,Fine Gael members of the 11th Dáil,Dublin County
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Fine Gael members of the 11th Dáil,Kilkenny North
Mr. Henry Morgan Dockrell,( - 26/10/1955),Company Director,Fine Gael members of the 11th Dáil,Dublin County
Mr. Maurice Edward Dockrell,(06/10/1908 - 09/12/1986),Company Director,Fine Gael members of the 11th Dáil,Dublin South
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Fine Gael members of the 11th Dáil,Dublin South
Sir John Esmonde,(15/12/1893 - 06/07/1958),Barrister-at-Law and Farmer,Fine Gael members of the 11th Dáil,Wexford
Mr. Charles Fagan,(01/10/1881 - 08/05/1974),Farmer and Salesmaster,Fine Gael members of the 11th Dáil,Longford -Westmeath
Mr. James Fitzgerald-Kenney,(01/01/1878 - 21/10/1956),Senior Counsel,Fine Gael members of the 11th Dáil,Mayo South
Capt. Patrick Giles,(01/01/1900 - 13/03/1965),Irish Army Captain,Fine Gael members of the 11th Dáil,Meath-Westmeath
Mr. James Hughes,( - 01/01/1948),Farmer,Fine Gael members of the 11th Dáil,Carlow-Kildare
Mr. Timothy Linehan,(04/08/1905 - ),Solicitor,Fine Gael members of the 11th Dáil,Cork North
Mr. Fionán Lynch,(17/03/1889 - 03/06/1966),Barrister-at-law,Fine Gael members of the 11th Dáil,Kerry South
Mr. Seán (Major-General) Mac Eoin,( - 07/07/1973),Former Army Officer,Fine Gael members of the 11th Dáil,Longford -Westmeath
Mr. Michael Óg McFadden,(01/01/1885 - 27/08/1958),Merchant and Auctioneer,Fine Gael members of the 11th Dáil,Donegal
Mr. Patrick McGilligan,(12/04/1889 - 15/11/1979),Lawyer and University Professor,Fine Gael members of the 11th Dáil,National University of Ireland
Mr. Daniel McMenamin,(01/03/1882 - ),Barrister-at-law,Fine Gael members of the 11th Dáil,Donegal
Mr. Joseph W. Mongan,(11/03/1880 - 12/03/1951),Hotel Proprietor,Fine Gael members of the 11th Dáil,Galway
Mr. Daniel Morrissey,( - 01/01/1981),Auctioneer,Fine Gael members of the 11th Dáil,Tipperary Mid North and South
Mr. Timothy Joseph O'Donovan,(04/04/1881 - 01/01/1951),Farmer,Fine Gael members of the 11th Dáil,Cork West
Mr. Thomas Francis (Snr.) O'Higgins,( - 01/11/1953),Medical Practitioner,Fine Gael members of the 11th Dáil,Dublin North
Bridget Mary Redmond,( - 03/05/1952),Landowner,Fine Gael members of the 11th Dáil,Waterford
Mr. James Reidy,( - 07/12/1963),Coal Merchant,Fine Gael members of the 11th Dáil,Limerick
Ms. Mary Reynolds,(10/10/1889 - 29/08/1974),Farmer Grocer and Spirit Merchant,Fine Gael members of the 11th Dáil,Leitrim-Sligo
Mr. Martin Roddy,( - 08/01/1948),Newspaper Editor Company Director,Fine Gael members of the 11th Dáil,Leitrim-Sligo
Mr. Patrick James Rogers,(01/02/1900 - 22/03/1963),Farmer,Fine Gael members of the 11th Dáil,Leitrim-Sligo
Colonel Jeremiah Ryan,(30/07/1891 - ),Farmer,Fine Gael members of the 11th Dáil,Tipperary
